y,m,d,Hijri_Date,Hijri_Month_Name,greg_dt,Day_EN,Weekday_AR
1446,10,27,27-10-1446,شوال,2025-04-25,Friday,الجمعة
1446,10,28,28-10-1446,شوال,2025-04-26,Saturday,السبت
1446,10,29,29-10-1446,شوال,2025-04-27,Sunday,الأحد
1446,10,30,30-10-1446,شوال,2025-04-28,Monday,الاثنين
1446,11,1,01-11-1446,ذو القعدة,2025-04-29,Tuesday,الثلاثاء
1446,11,2,02-11-1446,ذو القعدة,2025-04-30,Wednesday,الأربعاء
1446,11,3,03-11-1446,ذو القعدة,2025-05-01,Thursday,الخميس
1446,11,4,04-11-1446,ذو القعدة,2025-05-02,Friday,الجمعة
1446,11,5,05-11-1446,ذو القعدة,2025-05-03,Saturday,السبت
1446,11,6,06-11-1446,ذو القعدة,2025-05-04,Sunday,الأحد
1446,11,7,07-11-1446,ذو القعدة,2025-05-05,Monday,الاثنين
1446,11,8,08-11-1446,ذو القعدة,2025-05-06,Tuesday,الثلاثاء
1446,11,9,09-11-1446,ذو القعدة,2025-05-07,Wednesday,الأربعاء
1446,11,10,10-11-1446,ذو القعدة,2025-05-08,Thursday,الخميس
1446,11,11,11-11-1446,ذو القعدة,2025-05-09,Friday,الجمعة
1446,11,12,12-11-1446,ذو القعدة,2025-05-10,Saturday,السبت
1446,11,13,13-11-1446,ذو القعدة,2025-05-11,Sunday,الأحد
1446,11,14,14-11-1446,ذو القعدة,2025-05-12,Monday,الاثنين
1446,11,15,15-11-1446,ذو القعدة,2025-05-13,Tuesday,الثلاثاء
1446,11,16,16-11-1446,ذو القعدة,2025-05-14,Wednesday,الأربعاء
1446,11,17,17-11-1446,ذو القعدة,2025-05-15,Thursday,الخميس
1446,11,18,18-11-1446,ذو القعدة,2025-05-16,Friday,الجمعة
1446,11,19,19-11-1446,ذو القعدة,2025-05-17,Saturday,السبت
1446,11,20,20-11-1446,ذو القعدة,2025-05-18,Sunday,الأحد
1446,11,21,21-11-1446,ذو القعدة,2025-05-19,Monday,الاثنين
1446,11,22,22-11-1446,ذو القعدة,2025-05-20,Tuesday,الثلاثاء
1446,11,23,23-11-1446,ذو القعدة,2025-05-21,Wednesday,الأربعاء
1446,11,24,24-11-1446,ذو القعدة,2025-05-22,Thursday,الخميس
1446,11,25,25-11-1446,ذو القعدة,2025-05-23,Friday,الجمعة
1446,11,26,26-11-1446,ذو القعدة,2025-05-24,Saturday,السبت
1446,11,27,27-11-1446,ذو القعدة,2025-05-25,Sunday,الأحد
1446,11,28,28-11-1446,ذو القعدة,2025-05-26,Monday,الاثنين
1446,11,29,29-11-1446,ذو القعدة,2025-05-27,Tuesday,الثلاثاء
1446,12,1,01-12-1446,ذو الحجة,2025-05-28,Wednesday,الأربعاء
1446,12,2,02-12-1446,ذو الحجة,2025-05-29,Thursday,الخميس
1446,12,3,03-12-1446,ذو الحجة,2025-05-30,Friday,الجمعة
1446,12,4,04-12-1446,ذو الحجة,2025-05-31,Saturday,السبت
1446,12,5,05-12-1446,ذو الحجة,2025-06-01,Sunday,الأحد
1446,12,6,06-12-1446,ذو الحجة,2025-06-02,Monday,الاثنين
1446,12,7,07-12-1446,ذو الحجة,2025-06-03,Tuesday,الثلاثاء
1446,12,8,08-12-1446,ذو الحجة,2025-06-04,Wednesday,الأربعاء
1446,12,9,09-12-1446,ذو الحجة,2025-06-05,Thursday,الخميس
1446,12,10,10-12-1446,ذو الحجة,2025-06-06,Friday,الجمعة
1446,12,11,11-12-1446,ذو الحجة,2025-06-07,Saturday,السبت
1446,12,12,12-12-1446,ذو الحجة,2025-06-08,Sunday,الأحد
1446,12,13,13-12-1446,ذو الحجة,2025-06-09,Monday,الاثنين
1446,12,14,14-12-1446,ذو الحجة,2025-06-10,Tuesday,الثلاثاء
1446,12,15,15-12-1446,ذو الحجة,2025-06-11,Wednesday,الأربعاء
1446,12,16,16-12-1446,ذو الحجة,2025-06-12,Thursday,الخميس
1446,12,17,17-12-1446,ذو الحجة,2025-06-13,Friday,الجمعة
1446,12,18,18-12-1446,ذو الحجة,2025-06-14,Saturday,السبت
1446,12,19,19-12-1446,ذو الحجة,2025-06-15,Sunday,الأحد
1446,12,20,20-12-1446,ذو الحجة,2025-06-16,Monday,الاثنين
1446,12,21,21-12-1446,ذو الحجة,2025-06-17,Tuesday,الثلاثاء
1446,12,22,22-12-1446,ذو الحجة,2025-06-18,Wednesday,الأربعاء
1446,12,23,23-12-1446,ذو الحجة,2025-06-19,Thursday,الخميس
1446,12,24,24-12-1446,ذو الحجة,2025-06-20,Friday,الجمعة
1446,12,25,25-12-1446,ذو الحجة,2025-06-21,Saturday,السبت
1446,12,26,26-12-1446,ذو الحجة,2025-06-22,Sunday,الأحد
1446,12,27,27-12-1446,ذو الحجة,2025-06-23,Monday,الاثنين
1446,12,28,28-12-1446,ذو الحجة,2025-06-24,Tuesday,الثلاثاء
1446,12,29,29-12-1446,ذو الحجة,2025-06-25,Wednesday,الأربعاء
